name,url,description,test_type,adaptive_support,remote_support,duration
Graduate Sales - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-100,Graduate level Sales assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Management - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-101,Professional level Management assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Technical - Coding Skills Test,https://www.shl.com/solutions/products/assessment-102,Entry level Technical assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Customer Service - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-103,Intermediate level Customer Service assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Leadership - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-104,Advanced level Leadership assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior IT - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-105,Senior level IT assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Finance - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-106,Graduate level Finance assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Sales - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-107,Professional level Sales assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Management - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-108,Entry level Management assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Technical - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-109,Intermediate level Technical assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Customer Service - Coding Skills Test,https://www.shl.com/solutions/products/assessment-110,Advanced level Customer Service assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Leadership - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-111,Senior level Leadership assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-112,Graduate level IT assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-113,Professional level Finance assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-114,Entry level Sales assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-115,Intermediate level Management assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-116,Advanced level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-117,Senior level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-118,Graduate level Leadership assessment. Assesses programming and software development abilities,P,no,yes,65
Professional IT - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-119,Professional level IT assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Finance - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-120,Entry level Finance assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Sales - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-121,Intermediate level Sales assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Management - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-122,Advanced level Management assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Technical - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-123,Senior level Technical assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Customer Service - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-124,Graduate level Customer Service assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Leadership - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-125,Professional level Leadership assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry IT - Coding Skills Test,https://www.shl.com/solutions/products/assessment-126,Entry level IT assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Finance - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-127,Intermediate level Finance assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Sales - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-128,Advanced level Sales assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Management - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-129,Senior level Management assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-130,Graduate level Technical assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-131,Professional level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-132,Entry level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate IT - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-133,Intermediate level IT assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Finance - Coding Skills Test,https://www.shl.com/solutions/products/assessment-134,Advanced level Finance assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Sales - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-135,Senior level Sales assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Management - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-136,Graduate level Management assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional Technical - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-137,Professional level Technical assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Customer Service - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-138,Entry level Customer Service assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Leadership - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-139,Intermediate level Leadership assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced IT - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-140,Advanced level IT assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Finance - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-141,Senior level Finance assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Sales - Coding Skills Test,https://www.shl.com/solutions/products/assessment-142,Graduate level Sales assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Management - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-143,Professional level Management assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Technical - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-144,Entry level Technical assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Customer Service - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-145,Intermediate level Customer Service assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Leadership - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-146,Advanced level Leadership assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior IT - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-147,Senior level IT assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Finance - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-148,Graduate level Finance assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Sales - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-149,Professional level Sales assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Management - Coding Skills Test,https://www.shl.com/solutions/products/assessment-150,Entry level Management assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Technical - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-151,Intermediate level Technical assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Customer Service - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-152,Advanced level Customer Service assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Leadership - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-153,Senior level Leadership assessment. Assesses numerical and data interpretation skills,K,yes,no,30
Graduate IT - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-154,Graduate level IT assessment. Evaluates logical thinking and pattern recognition,K,no,yes,29
Professional Finance - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-155,Professional level Finance assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,30
Entry Sales - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-156,Entry level Sales assessment. Comprehensive personality assessment for workplace behaviors,B,yes,yes,45
Intermediate Management - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-157,Intermediate level Management assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,40
Advanced Technical - Coding Skills Test,https://www.shl.com/solutions/products/assessment-158,Advanced level Technical assessment. Assesses programming and software development abilities,P,no,yes,70
Senior Customer Service - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-159,Senior level Customer Service assessment. Measures customer interaction and service capabilities,"P,S",yes,no,30
Graduate Leadership - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-160,Graduate level Leadership assessment. Measures ability to understand and analyze written information,K,no,yes,30
Professional IT - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-161,Professional level IT assessment. Assesses numerical and data interpretation skills,K,no,no,40
Entry Finance - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-162,Entry level Finance assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Sales - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-163,Intermediate level Sales assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Management - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-164,Advanced level Management assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior Technical - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-165,Senior level Technical assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Customer Service - Coding Skills Test,https://www.shl.com/solutions/products/assessment-166,Graduate level Customer Service assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Leadership - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-167,Professional level Leadership assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry IT - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-168,Entry level IT assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Finance - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-169,Intermediate level Finance assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Sales - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-170,Advanced level Sales assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Management - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-171,Senior level Management assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate Technical - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-172,Graduate level Technical assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Customer Service - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-173,Professional level Customer Service assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Leadership - Coding Skills Test,https://www.shl.com/solutions/products/assessment-174,Entry level Leadership assessment. Assesses programming and software development abilities,P,yes,yes,60
